stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
BAR1BAIL,,"Bailleux",,50.453414,2.603393,,,0,
BAR1BMWA,,"Bd Marcel Wacheux",,50.451530,2.607128,,,0,
BAR1CHAR,,"Charmilles",,50.453934,2.622911,,,0,
BAR1CIME,,"Barlin Cimetière",,50.464759,2.614712,,,0,
BAR1COLL,,"Barlin Collège Moulin - Quai C",,50.456893,2.623852,,,0,
BAR1FETE,,"Barlin Mairie",,50.457989,2.617173,,,0,
BAR1FOS5,,"Fosse 5",,50.455980,2.627419,,,0,
BAR1FOS7,,"Fosse 7",,50.452563,2.595069,,,0,
BAR1FREN,,"Fresnicourt",,50.454009,2.616298,,,0,
BAR1JDAR,,"Jeanne d'Arc",,50.453659,2.619176,,,0,
BAR1JUST,,"Rue de la Justice",,50.460324,2.611905,,,0,
BAR1MARI,,"Marina",,50.453696,2.598504,,,0,
BAR1MILL,,"Millevoye",,50.455863,2.621166,,,0,
BAR1PON9,,"Pont 9",,50.445692,2.610041,,,0,
BAR1REPT,,"Reptins",,50.461311,2.613602,,,0,
BAR1RFOC,,"Rue Foch",,50.447673,2.611807,,,0,
BAR1RVHO,,"Vieil Houdain",,50.443681,2.607655,,,0,
BAR1SALE,,"Grand-Place",,50.459162,2.614830,,,0,
BAR2ACTI,,"Actigreen",,50.451418,2.614160,,,0,
BAR2ARAG,,"Barlin Collège Moulin - Quai B",,50.457553,2.623020,,,0,
BAR2BAIL,,"Bailleux",,50.453215,2.602765,,,0,
BAR2BMWA,,"Bd Marcel Wacheux",,50.451581,2.607384,,,0,
BAR2CHAR,,"Charmilles",,50.453777,2.622697,,,0,
BAR2CIME,,"Barlin Cimetière",,50.464911,2.614713,,,0,
BAR2COLL,,"Barlin Collège Moulin - Quai D",,50.457012,2.624029,,,0,
BAR2FETE,,"Barlin Mairie",,50.458034,2.617105,,,0,
BAR2FOS5,,"Fosse 5",,50.456226,2.626820,,,0,
BAR2FOS7,,"Fosse 7",,50.452509,2.595139,,,0,
BAR2FREN,,"Fresnicourt",,50.454231,2.616396,,,0,
BAR2JDAR,,"Jeanne d'Arc",,50.453658,2.619242,,,0,
BAR2JUST,,"Rue de la Justice",,50.460180,2.611862,,,0,
BAR2MARI,,"Marina",,50.453606,2.598531,,,0,
BAR2MILL,,"Millevoye",,50.455728,2.620733,,,0,
BAR2PON9,,"Pont 9",,50.445677,2.609963,,,0,
BAR2REPT,,"Reptins",,50.461291,2.613838,,,0,
BAR2RFOC,,"Rue Foch",,50.447674,2.611653,,,0,
BAR2RVHO,,"Vieil Houdain",,50.443743,2.607753,,,0,
BAR2SALE,,"Grand-Place",,50.458794,2.614377,,,0,
BAU1MAIR,,"Bauvin Mairie",,50.515021,2.896779,,,0,
BAU1MARA,,"Bauvin Marais",,50.518264,2.891703,,,0,
BAU2MAIR,,"Bauvin Mairie",,50.515243,2.896226,,,0,
BAU2MARA,,"Bauvin Marais",,50.518159,2.891550,,,0,
BEG1BOLO,,"Bois Louis",,50.432157,2.498611,,,0,
BEG1CENT,,"Rue de la Place",,50.442819,2.516843,,,0,
BEG1LLAC,,"Le Lac",,50.438214,2.509030,,,0,
BEG1PPER,,"Beugin Mairie",,50.441454,2.516597,,,0,
BEG2BOLO,,"Bois Louis",,50.432087,2.498476,,,0,
BEG2CENT,,"Rue de la Place",,50.442801,2.516787,,,0,
BEG2LLAC,,"Le Lac",,50.438197,2.508412,,,0,
BEN1PLAC,,"Bénifontaine Place",,50.488312,2.828345,,,0,
